KR1728LI, Full Time Employee, 1963-07-05, 59, 1987-12-03, 1999-09-18, Performance, Female, Single, M1, JML, 35449.62, Germany, EUR, Berlin, Production, GER1, Christianity
S9CY1M1R, Full Time Employee, 1961-12-11, 61, 2014-05-16, , , Female, Single, M3, MML, 53050.14, Germany, EUR, Bonn, Packing, GER1, Islam
6H95EG3O, Full Time Employee, 1962-08-02, 60, 2014-02-07, 2018-10-25, Career change, Male, Widowed, M1, JML, 35448.19, Germany, EUR, Frankfurt, R&D, GER1, Islam
XEAOQUFH, Full Time Employee, 1984-08-13, 38, 2009-09-17, 2016-10-26, Gross misconduct, Female, Widowed, M6, SML, 95350.07, US, USD, Phoenix, Engineering, US4, Christianity
6BE3RKMH, Full Time Employee, 1986-02-15, 37, 2013-02-20, , , Male, Divorced, M3, MML, 53052.35, Germany, EUR, Berlin, Customer Service, GER2, Christianity
J734Y1LF, Full Time Employee, 1987-06-17, 35, 2012-01-18, , , Male, Divorced, M3, MML, 53045.93, India, INR, Vizag, Sales & Marketing, IN3, Jainism
9CHSY1OT, Full Time Employee, 1980-08-05, 42, 2016-01-19, , , Male, Divorced, M1, JML, 35453.78, Germany, EUR, Frankfurt, Production, GER1, Islam
Y148H1ZT, Full Time Employee, 1988-05-02, 34, 2008-02-13, 2019-10-12, Performance, Female, Married, M1, JML, 35451.30, US, USD, Boston, Production, US1, Christianity
KPCG2Q6L, Full Time Employee, 1998-07-01, 24, 2016-11-10, 2020-01-01, Return to school, Male, Single, M4, MML, 61550.10, US, USD, Phoenix, Sales & Marketing, US3, Athiest
1216J4P9, Full Time Employee, 1990-12-08, 32, 2012-03-01, , , Male, Divorced, N2, NML, 32753.48, Germany, EUR, Berlin, HR, GER2, Christianity
GD24L3CO, Full Time Employee, 1965-11-27, 57, 1989-11-12, 1996-01-06, Performance, Female, Married, M5, SML, 76550.33, US, USD, Boston, Logistics, US1, Christianity
OU2IQRXK, Full Time Employee, 1971-02-13, 52, 1993-03-02, , , Female, Single, M2, JML, 43199.81, Germany, EUR, Frankfurt, Sales & Marketing, GER2, Islam
D3IQOZN7, Full Time Employee, 2002-10-22, 20, 2022-07-20, 2023-02-14, Career change, Female, Married, M2, JML, 43203.97, India, INR, Bangalore, Sales & Marketing, IN1, Sikhism
JAP8BRDG, Full Time Employee, 1979-10-03, 43, 2021-06-18, , , Male, Separated, M1, JML, 35453.13, Germany, EUR, Berlin, Engineering, GER2, Islam
RFF343GL, Temporary Employee, 1962-04-27, 60, 1980-05-22, , , Male, Single, M3, MML, 53051.99, India, INR, Hyderabad, Procurement, IN2, Hinduism
45ZCJV2W, Full Time Employee, 1984-04-12, 38, 2015-08-26, 2019-03-03, Performance, Male, Divorced, M4, MML, 61548.40, Germany, EUR, Berlin, Engineering, GER1, Christianity
2N9DKGNI, Full Time Employee, 1981-08-26, 41, 2008-01-14, 2015-08-10, AWOL, Female, Single, M2, JML, 43197.46, Germany, EUR, Berlin, R&D, GER1, Islam
UYVSI001, Fixed Term Contractual Employee, 1977-07-03, 45, 1996-09-30, , , Male, Separated, M1, JML, 35451.29, Germany, EUR, Berlin, Engineering, GER2, Christianity
G2HJF09U, Full Time Employee, 1965-11-23, 57, 2012-06-21, 2020-04-05, Performance, Female, Widowed, M1, JML, 35449.16, US, USD, Phoenix, Engineering, US4, Athiest
8EBFSSRB, Full Time Employee, 1982-08-27, 40, 2019-06-05, 2022-11-17, AWOL, Female, Single, M2, JML, 43204.14, Germany, EUR, Frankfurt, Logistics, GER1, Islam
SYGJLYER, Full Time Employee, 1976-12-08, 46, 2012-03-04, , , Male, Separated, M1, JML, 35450.69, India, INR, Bangalore, Engineering, IN4, Buddhism
L0T2VKRC, Full Time Employee, 2003-08-29, 19, 2022-01-05, , , Male, Married, N2, NML, 32751.14, Germany, EUR, Bonn, Logistics, GER1, Islam
J4FT0BV3, Full Time Employee, 2001-02-20, 22, 2020-04-21, 2021-03-14, Relocation, Female, Widowed, M1, JML, 35451.09, India, INR, Chennai, Sales & Marketing, IN2, Hinduism
99SVAM6R, Full Time Employee, 1987-12-28, 35, 2013-02-20, 2016-01-13, Career change, Male, Separated, M2, JML, 43199.09, US, USD, New York, Engineering, US5, Christianity
78BYR6SK, Full Time Employee, 1975-08-13, 47, 2000-10-24, 2018-07-04, Career change, Male, Married, M1, JML, 35450.99, US, USD, Boston, Production, US4, Athiest
PYRP5YJH, Full Time Employee, 1963-04-02, 59, 1990-10-25, , , Female, Widowed, M2, JML, 43202.74, India, INR, Bangalore, Engineering, IN1, Christianity
F5GOEI5K, Full Time Employee, 1964-11-06, 58, 1986-08-10, , , Female, Widowed, M2, JML, 43202.61, US, USD, Phoenix, Logistics, US1, Jewish
Q7HP8MKS, Full Time Employee, 1998-07-04, 24, 2017-08-22, 2022-06-03, Relocation, Male, Widowed, M1, JML, 35451.79, India, INR, Delhi, Customer Service, IN2, Hinduism
Q8MBDTDY, Full Time Employee, 1964-02-05, 59, 2020-04-19, 2020-08-30, Medical issues, Male, Married, M1, JML, 35451.27, US, USD, Phoenix, Engineering, US5, Christianity
J187NIXH, Full Time Employee, 1998-09-12, 24, 2016-11-27, , , Male, Divorced, M5, SML, 76551.99, India, INR, Hyderabad, R&D, IN3, Sikhism
QBBSEI2I, Casual Employee, 1963-04-08, 59, 1996-06-14, 1999-06-30, Relocation, Female, Married, M3, MML, 53050.05, India, INR, Delhi, Production, IN2, Buddhism
V2EJV0Y2, Full Time Employee, 1997-03-04, 25, 2017-09-16, , , Female, Widowed, M2, JML, 43200.88, US, USD, Boston, Engineering, US5, Islam
K32KEB4L, Full Time Employee, 1987-01-23, 36, 2008-07-31, , , Female, Single, M1, JML, 35451.22, Germany, EUR, Berlin, Packing, GER2, Christianity
8W8V0HCP, Full Time Employee, 2001-11-20, 21, 2019-12-05, 2021-11-23, Relocation, Male, Separated, M4, MML, 61552.09, US, USD, New York, Production, US5, Athiest
UVFDWD2U, Full Time Employee, 1988-08-24, 34, 2008-12-06, 2019-08-14, AWOL, Male, Widowed, M2, JML, 43199.79, Germany, EUR, Frankfurt, Production, GER1, Islam
NYNCDXJN, Full Time Employee, 1974-09-20, 48, 2002-12-01, , , Male, Single, M6, SML, 95350.69, US, USD, Phoenix, Engineering, US4, Christianity
UD2GKCKX, Full Time Employee, 1971-11-01, 51, 1994-04-06, 2006-03-12, Gross misconduct, Male, Single, M6, SML, 95349.45, US, USD, Boston, Engineering, US6, Jewish
PS36BOXY, Full Time Employee, 1969-05-24, 53, 1993-06-14, 2005-04-13, Gross misconduct, Male, Married, M5, SML, 76550.20, India, INR, Bangalore, Production, IN4, Sikhism
CVYOXJO7, Full Time Employee, 1981-11-17, 41, 2020-09-06, 2021-05-10, AWOL, Female, Divorced, M4, MML, 61547.76, Germany, EUR, Berlin, Sales & Marketing, GER1, Christianity
NKFVN7B8, Full Time Employee, 1964-01-06, 59, 2022-09-11, 2023-01-16, Career change, Female, Widowed, M2, JML, 43201.19, Germany, EUR, Berlin, Customer Service, GER1, Islam
9V5G13FB, Full Time Employee, 1994-09-18, 28, 2013-04-04, 2020-05-18, Gross misconduct, Male, Divorced, M1, JML, 35451.24, US, USD, Boise, Production, US6, Islam
TBJ7M7VT, Temporary Employee, 1964-11-08, 58, 2000-09-14, , , Male, Divorced, N2, NML, 32753.01, US, USD, New York, Logistics, US5, Athiest
M5ZX00Z4, Full Time Employee, 2000-11-18, 22, 2020-06-16, , , Female, Divorced, M4, MML, 61550.94, India, INR, Chennai, Logistics, IN3, Sikhism
GF4GKS4N, Full Time Employee, 1970-10-17, 52, 2008-11-09, , , Male, Divorced, M5, SML, 76551.05, Germany, EUR, Bonn, Sales & Marketing, GER1, Islam
FKGZO0ZV, Full Time Employee, 1991-08-29, 31, 2013-10-26, 2014-05-03, Medical issues, Female, Widowed, M6, SML, 95350.97, US, USD, Boise, Sales & Marketing, US3, Jewish
Q4U4D44A, Full Time Employee, 1998-06-18, 24, 2021-05-09, , , Female, Married, M4, MML, 61549.61, US, USD, New York, Production, US3, Jewish
GCCKHWPU, Full Time Employee, 1979-03-18, 43, 2011-11-03, , , Female, Widowed, M2, JML, 43201.70, US, USD, New York, R&D, US6, Jewish
QRP2EXVH, Full Time Employee, 1976-12-23, 46, 2000-04-01, 2004-04-13, Gross misconduct, Female, Divorced, M2, JML, 43199.17, Germany, EUR, Bonn, Production, GER1, Islam
WAB96QWI, Temporary Employee, 1999-07-18, 23, 2020-07-29, 2021-11-16, Gross misconduct, Male, Widowed, M1, JML, 35453.20, Germany, EUR, Berlin, R&D, GER1, Islam
H45DNYGS, Full Time Employee, 2003-09-15, 19, 2022-09-20, 2022-09-22, Gross misconduct, Male, Married, M3, MML, 53050.43, India, INR, Hyderabad, Engineering, IN2, Hinduism
IK7AF0GX, Full Time Employee, 1988-09-28, 34, 2008-06-10, 2015-05-08, Return to school, Female, Separated, M1, JML, 35449.19, US, USD, Boise, Production, US5, Christianity
HJOWHUNQ, Full Time Employee, 1970-06-19, 52, 1998-04-14, 2017-03-31, Return to school, Female, Single, M1, JML, 35452.30, US, USD, Phoenix, Production, US4, Islam
7B90SKWR, Full Time Employee, 1987-09-10, 35, 2012-02-06, 2021-08-23, Relocation, Male, Single, M4, MML, 61553.60, Germany, EUR, Frankfurt, Sales & Marketing, GER2, Christianity
ZFQCA7FL, Full Time Employee, 2002-06-21, 20, 2021-03-04, 2023-01-13, Return to school, Male, Married, M2, JML, 43200.24, US, USD, Boston, Engineering, US2, Islam
QCE27DY7, Full Time Employee, 1976-02-23, 47, 2017-05-09, 2020-03-09, Gross misconduct, Male, Separated, M3, MML, 53047.61, Germany, EUR, Berlin, Engineering, GER2, Islam
ENWPOIB6, Temporary Employee, 1978-10-31, 44, 2015-07-09, , , Female, Widowed, M4, MML, 61549.22, India, INR, Hyderabad, Production, IN3, Islam
0M9HYGP4, Full Time Employee, 1990-07-30, 32, 2022-12-07, , , Male, Divorced, M2, JML, 43200.52, US, USD, Boise, Sales & Marketing, US3, Islam
NWYP6GOS, Full Time Employee, 1964-01-23, 59, 1988-11-13, , , Male, Widowed, M2, JML, 43198.45, Germany, EUR, Berlin, Engineering, GER1, Islam
ZJLGDZSF, Full Time Employee, 1989-11-06, 33, 2013-12-25, , , Male, Divorced, M1, JML, 35447.42, US, USD, Boston, Sales & Marketing, US2, Jewish
1628GCE5, Full Time Employee, 1997-12-19, 25, 2023-01-14, 2023-01-26, Relocation, Male, Married, M4, MML, 61550.51, US, USD, Boston, Sales & Marketing, US6, Islam
U3S9WO70, Full Time Employee, 1982-03-03, 40, 2011-12-20, 2022-04-01, Career change, Male, Separated, M3, MML, 53047.21, US, USD, Boise, Sales & Marketing, US2, Islam
UVGUG8RG, Full Time Employee, 2001-08-26, 21, 2020-01-17, , , Male, Widowed, M2, JML, 43202.32, Germany, EUR, Bonn, Logistics, GER2, Islam
8PRYTT4A, Full Time Employee, 1968-06-02, 54, 1988-02-13, 2015-07-03, Gross misconduct, Female, Divorced, M3, MML, 53049.66, US, USD, New York, Engineering, US5, Islam
27NVL39Y, Full Time Employee, 1978-01-28, 45, 1997-01-04, , , Female, Married, N2, NML, 32751.38, India, INR, Delhi, Production, IN4, Hinduism
8263UK2Y, Full Time Employee, 1983-11-07, 39, 2019-10-08, 2021-02-09, Performance, Female, Separated, M1, JML, 35449.74, India, INR, Vizag, Engineering, IN4, Christianity
2CAYN6UG, Casual Employee, 1991-12-22, 31, 2019-05-01, , , Male, Divorced, M1, JML, 35449.06, Germany, EUR, Frankfurt, Engineering, GER2, Islam
4WLK88UP, Full Time Employee, 1999-12-03, 23, 2022-04-07, 2022-11-25, Performance, Male, Separated, N2, NML, 32753.73, India, INR, Bangalore, Sales & Marketing, IN2, Christianity
WZBFSCSF, Full Time Employee, 1981-12-24, 41, 2019-01-26, , , Male, Single, M4, MML, 61553.26, Germany, EUR, Bonn, Customer Service, GER1, Islam
CAMAM4QZ, Full Time Employee, 1991-07-25, 31, 2012-06-08, , , Male, Single, M2, JML, 43200.71, India, INR, Vizag, Production, IN3, Jainism
GM8UWW1Q, Full Time Employee, 1971-12-18, 51, 1991-09-29, , , Female, Widowed, M7, TML, 106454.24, India, INR, Hyderabad, Production, IN4, Christianity
XH0O094D, Full Time Employee, 1999-03-02, 23, 2022-09-26, , , Male, Widowed, M5, SML, 76550.24, India, INR, Chennai, Production, IN2, Hinduism
6PI7PTVO, Full Time Employee, 1987-02-04, 36, 2019-03-25, , , Male, Single, M2, JML, 43199.26, India, INR, Delhi, Procurement, IN3, Islam
4UPQC8R6, Full Time Employee, 1976-02-02, 47, 2004-07-06, 2008-03-21, AWOL, Female, Widowed, M1, JML, 35448.12, US, USD, Boise, Stores, US5, Christianity
QC0MKPSF, Full Time Employee, 1978-02-05, 45, 2015-08-04, 2020-05-16, Career change, Male, Married, M2, JML, 43199.96, India, INR, Vizag, Sales & Marketing, IN2, Jainism
DV6H4HOX, Full Time Employee, 1967-07-29, 55, 2019-05-08, , , Female, Divorced, M2, JML, 43197.93, US, USD, Boise, Production, US1, Christianity
RHHAI3O8, Full Time Employee, 1986-01-29, 37, 2019-04-28, , , Female, Married, M2, JML, 43199.32, Germany, EUR, Berlin, Production, GER2, Christianity
KJYOOUQW, Full Time Employee, 1993-08-15, 29, 2013-03-05, 2020-01-23, Gross misconduct, Male, Married, M1, JML, 35451.24, Germany, EUR, Berlin, Production, GER2, Christianity
XHQDHJOR, Full Time Employee, 1985-04-04, 37, 2008-05-27, 2011-04-20, AWOL, Male, Separated, M4, MML, 61550.34, US, USD, Phoenix, Packing, US1, Athiest
XOCHO0VM, Full Time Employee, 1987-10-27, 35, 2018-07-25, , , Female, Separated, M2, JML, 43199.20, India, INR, Chennai, Engineering, IN2, Christianity
ALHBO4OR, Full Time Employee, 1970-03-19, 52, 2006-08-31, 2014-02-17, AWOL, Female, Single, M5, SML, 76544.98, Germany, EUR, Frankfurt, Production, GER1, Christianity
X7R9OC4S, Full Time Employee, 1973-06-30, 49, 2015-04-03, , , Female, Married, M2, JML, 43201.35, US, USD, Boston, Production, US4, Jewish
4RG4LKOL, Full Time Employee, 1982-09-17, 40, 2005-07-05, 2009-06-21, Return to school, Female, Separated, M5, SML, 76551.80, US, USD, Phoenix, Engineering, US6, Athiest
C156A2QA, Full Time Employee, 1989-11-16, 33, 2016-06-22, , , Male, Married, M4, MML, 61551.80, Germany, EUR, Berlin, Procurement, GER2, Islam
1WUEDNLR, Full Time Employee, 1995-01-15, 28, 2015-08-06, , , Male, Married, M3, MML, 53049.38, Germany, EUR, Bonn, Production, GER1, Islam
13T19CS2, Full Time Employee, 1967-09-22, 55, 2020-07-02, , , Third gender, Widowed, M2, JML, 43199.40, Germany, EUR, Bonn, Engineering, GER1, Christianity
B0CAC2IE, Full Time Employee, 1971-03-25, 51, 2011-10-31, 2018-12-29, AWOL, Male, Separated, M1, JML, 35452.87, India, INR, Hyderabad, Engineering, IN4, Sikhism
SJ38K33R, Full Time Employee, 1966-03-25, 56, 2010-05-15, , , Male, Widowed, M2, JML, 43199.19, India, INR, Chennai, Production, IN3, Buddhism
QCPNT0EO, Full Time Employee, 1991-07-14, 31, 2021-10-08, 2021-10-10, Medical issues, Male, Separated, M1, JML, 35451.63, India, INR, Vizag, Engineering, IN2, Sikhism
GPW9277G, Full Time Employee, 1976-10-25, 46, 2011-08-26, , , Male, Separated, M2, JML, 43202.20, Germany, EUR, Berlin, Engineering, GER2, Islam
HK9CF1ZR, Full Time Employee, 1987-05-25, 35, 2008-06-16, , , Male, Widowed, M1, JML, 35449.49, Germany, EUR, Berlin, Production, GER1, Christianity
OZUNGWIP, Full Time Employee, 1996-01-09, 27, 2021-09-01, 2023-01-19, Medical issues, Male, Married, M2, JML, 43199.92, Germany, EUR, Frankfurt, Production, GER1, Christianity
S9H2MV1A, Full Time Employee, 1992-07-26, 30, 2011-12-31, 2018-10-05, Return to school, Female, Single, M2, JML, 43197.64, India, INR, Bangalore, Sales & Marketing, IN3, Buddhism
J26YMD6I, Full Time Employee, 1980-01-16, 43, 1999-02-15, 2016-04-25, Career change, Male, Divorced, M2, JML, 43197.24, Germany, EUR, Berlin, Sales & Marketing, GER1, Islam
4U7O729T, Full Time Employee, 1974-06-27, 48, 2018-06-20, 2020-04-01, Gross misconduct, Female, Widowed, M1, JML, 35449.88, India, INR, Hyderabad, Logistics, IN2, Hinduism
YK9582G1, Full Time Employee, 1987-02-02, 36, 2018-02-21, 2022-10-11, Return to school, Male, Married, M3, MML, 53046.79, US, USD, Phoenix, Production, US3, Islam
EUX23LL1, Full Time Employee, 1968-11-14, 54, 1995-05-14, , , Male, Single, M1, JML, 35449.63, India, INR, Vizag, Engineering, IN3, Christianity
OFW9E7CS, Full Time Employee, 1973-03-15, 49, 2005-10-21, 2020-06-08, Relocation, Male, Widowed, M4, MML, 61547.63, US, USD, New York, Engineering, US1, Islam
STJO6FID, Full Time Employee, 1999-11-18, 23, 2018-02-16, , , Female, Divorced, M4, MML, 61545.56, US, USD, Boise, Engineering, US5, Christianity
2Q9QZWRG, Full Time Employee, 2003-07-21, 19, 2022-12-22, , , Male, Married, N1, NML, 30652.60, Germany, EUR, Frankfurt, Customer Service, GER2, Islam
UW4MXCZN, Full Time Employee, 1968-10-15, 54, 2007-06-13, 2018-06-01, Career change, Female, Separated, N2, NML, 32747.56, US, USD, Phoenix, Production, US1, Athiest
WZ7ZUKMQ, Fixed Term Contractual Employee, 1966-03-24, 56, 2020-04-30, , , Male, Divorced, M2, JML, 43198.62, Germany, EUR, Frankfurt, HR, GER2, Islam
JEWJOU8X, Full Time Employee, 1976-03-28, 46, 1994-11-17, , , Male, Single, M3, MML, 53054.03, India, INR, Hyderabad, Production, IN3, Hinduism
GUNQWHDS, Full Time Employee, 1994-12-04, 28, 2019-09-11, , , Male, Divorced, N2, NML, 32746.06, India, INR, Bangalore, Logistics, IN2, Christianity
NL57L8BR, Full Time Employee, 1995-11-01, 27, 2016-11-22, 2018-04-22, Career change, Male, Divorced, M2, JML, 43197.92, Germany, EUR, Berlin, Production, GER2, Islam
DTSVE5EL, Full Time Employee, 1966-08-09, 56, 1995-11-25, , , Male, Widowed, M7, TML, 106451.02, India, INR, Delhi, Packing, IN1, Jainism
YXPFIW9A, Full Time Employee, 2002-12-25, 20, 2022-01-29, , , Female, Divorced, M4, MML, 61554.36, Germany, EUR, Berlin, Engineering, GER1, Islam
6X5TC84J, Full Time Employee, 1981-02-17, 42, 2019-12-29, 2021-10-12, Medical issues, Male, Separated, M1, JML, 35451.67, India, INR, Chennai, Engineering, IN4, Hinduism
P58MK0NX, Full Time Employee, 1968-10-16, 54, 2006-04-02, , , Male, Married, M3, MML, 53050.92, US, USD, Boston, Engineering, US4, Jewish
MV02CEEJ, Full Time Employee, 1967-01-10, 56, 1989-09-03, , , Female, Divorced, M4, MML, 61551.21, Germany, EUR, Berlin, Engineering, GER2, Islam
UUEC3ES4, Casual Employee, 1999-05-13, 23, 2018-12-07, 2020-01-15, Gross misconduct, Male, Widowed, N2, NML, 32753.51, India, INR, Delhi, Production, IN2, Buddhism
D8U6RUXQ, Full Time Employee, 1963-02-26, 60, 1990-11-28, , , Female, Married, M1, JML, 35443.87, Germany, EUR, Frankfurt, Engineering, GER2, Islam
4NQVQNP7, Full Time Employee, 1990-08-28, 32, 2009-02-11, 2009-03-11, Career change, Male, Divorced, M1, JML, 35450.01, Germany, EUR, Frankfurt, Production, GER2, Islam
D8ZQBL2V, Full Time Employee, 1982-07-08, 40, 2018-09-22, 2020-12-25, Gross misconduct, Female, Separated, M7, TML, 106454.03, US, USD, Phoenix, Packing, US6, Islam
CZBNBJS4, Full Time Employee, 1984-05-07, 38, 2018-07-04, 2022-01-16, Career change, Female, Separated, M2, JML, 43201.27, US, USD, Boston, Sales & Marketing, US2, Athiest
4PTTG55G, Temporary Employee, 1979-01-01, 44, 2020-01-07, , , Female, Single, M4, MML, 61550.65, India, INR, Bangalore, Production, IN3, Sikhism
G5RPBOY6, Full Time Employee, 1989-08-07, 33, 2017-12-24, 2022-04-14, AWOL, Male, Married, M3, MML, 53049.22, India, INR, Chennai, Customer Service, IN1, Buddhism
UNOTC681, Full Time Employee, 1961-01-31, 62, 2011-11-03, 2016-07-25, AWOL, Female, Separated, M1, JML, 35450.48, Germany, EUR, Bonn, Production, GER2, Islam
HLBBHWWH, Full Time Employee, 1988-03-06, 34, 2022-05-06, , , Male, Separated, M3, MML, 53052.21, US, USD, New York, Sales & Marketing, US3, Jewish
3AT6PC8Y, Full Time Employee, 1989-01-26, 34, 2014-04-30, , , Female, Single, M1, JML, 35451.45, Germany, EUR, Berlin, Engineering, GER1, Christianity
6UYCO03R, Full Time Employee, 1997-01-27, 26, 2015-08-11, , , Male, Single, M4, MML, 61549.37, India, INR, Vizag, Production, IN3, Christianity
8LWQGMI2, Full Time Employee, 1992-11-17, 30, 2011-05-17, 2020-03-27, Relocation, Male, Married, M7, TML, 106450.35, US, USD, Boston, Customer Service, US3, Christianity
HKOEAO6M, Full Time Employee, 1997-05-05, 25, 2016-08-12, 2022-04-18, Relocation, Female, Separated, M5, SML, 76552.55, Germany, EUR, Bonn, Engineering, GER2, Islam
PQM6LJM0, Full Time Employee, 1992-07-12, 30, 2011-02-13, , , Male, Separated, N2, NML, 32750.80, Germany, EUR, Berlin, HR, GER2, Christianity
WZGO7TV9, Full Time Employee, 1975-11-03, 47, 1999-08-28, 2005-02-12, AWOL, Male, Separated, M6, SML, 95354.30, US, USD, New York, Engineering, US6, Islam
B2CT2HBJ, Full Time Employee, 1998-03-29, 24, 2017-06-14, , , Female, Divorced, M2, JML, 43200.94, US, USD, New York, Engineering, US3, Christianity
6DDU8T2T, Wage Boarder, 1997-03-27, 25, 2018-07-29, , , Male, Separated, M1, JML, 35448.95, US, USD, Boston, Production, US4, Islam
U8MVUG0O, Full Time Employee, 1992-08-07, 30, 2019-12-16, , , Male, Married, M3, MML, 53048.63, India, INR, Hyderabad, Production, IN2, Hinduism
G91DLAFE, Full Time Employee, 1967-01-05, 56, 2008-04-03, , , Male, Divorced, M1, JML, 35448.84, India, INR, Hyderabad, Engineering, IN4, Hinduism
G2O63B5A, Full Time Employee, 2001-11-01, 21, 2021-05-02, , , Female, Separated, M6, SML, 95350.81, US, USD, Phoenix, Customer Service, US3, Jewish
2QZLK5WK, Fixed Term Contractual Employee, 1966-02-06, 57, 1993-09-12, 1995-05-31, AWOL, Female, Divorced, N2, NML, 32752.06, India, INR, Chennai, HR, IN2, Jainism
RY9K4NXB, Full Time Employee, 1977-03-01, 45, 1998-09-18, , , Male, Separated, M4, MML, 61549.53, US, USD, New York, Engineering, US2, Christianity
Z14B7V69, Full Time Employee, 1970-09-02, 52, 2003-01-24, 2004-08-30, Career change, Female, Separated, M6, SML, 95351.67, Germany, EUR, Frankfurt, Production, GER1, Islam
99VR4YF1, Full Time Employee, 1979-05-01, 43, 2008-01-19, 2016-07-24, Medical issues, Male, Single, M1, JML, 35451.01, India, INR, Delhi, Production, IN3, Jainism
D31Y0CDN, Full Time Employee, 1988-07-27, 34, 2017-07-27, , , Male, Single, M3, MML, 53048.75, India, INR, Delhi, Logistics, IN3, Hinduism
LAVL4MSP, Full Time Employee, 1975-06-10, 47, 2000-02-11, , , Male, Widowed, M4, MML, 61550.70, India, INR, Chennai, Engineering, IN4, Buddhism
CDQMDXHF, Full Time Employee, 1993-05-28, 29, 2014-07-15, 2015-06-16, Career change, Female, Widowed, M4, MML, 61552.77, India, INR, Vizag, Production, IN1, Buddhism
3H4GVR98, Full Time Employee, 1974-04-16, 48, 2017-02-03, 2022-09-22, Medical issues, Male, Single, M6, SML, 95347.69, India, INR, Chennai, Production, IN1, Hinduism
ROHHDGJN, Full Time Employee, 1990-09-12, 32, 2018-05-30, 2022-12-04, Gross misconduct, Female, Divorced, M2, JML, 43199.52, US, USD, New York, Sales & Marketing, US3, Jewish
K5RXSACE, Full Time Employee, 1990-10-11, 32, 2012-08-04, , , Female, Single, M1, JML, 35449.79, US, USD, New York, Packing, US6, Christianity
NY29BU96, Full Time Employee, 1989-10-10, 33, 2014-04-13, , , Female, Divorced, M1, JML, 35443.51, India, INR, Hyderabad, Engineering, IN3, Sikhism
ZC6DL5S9, Full Time Employee, 1987-10-24, 35, 2021-08-02, 2022-03-23, AWOL, Male, Separated, M4, MML, 61550.35, US, USD, New York, Logistics, US2, Islam
EGE805YQ, Full Time Employee, 1965-08-15, 57, 1998-01-23, 2005-09-29, AWOL, Female, Single, M4, MML, 61553.35, US, USD, Boston, HR, US1, Christianity
01DTJWF5, Full Time Employee, 1982-03-18, 40, 2004-06-22, , , Male, Divorced, M1, JML, 35450.21, India, INR, Vizag, Procurement, IN1, Hinduism
GURF1N00, Full Time Employee, 1963-09-22, 59, 1990-06-26, , , Male, Divorced, M1, JML, 35448.28, Germany, EUR, Bonn, Engineering, GER2, Islam
T8QG34TU, Full Time Employee, 1977-03-22, 45, 2013-05-14, 2019-11-17, AWOL, Male, Widowed, M1, JML, 35452.28, Germany, EUR, Frankfurt, Engineering, GER1, Christianity
UG31OWC6, Fixed Term Contractual Employee, 1980-06-15, 42, 2017-05-29, , , Female, Married, M3, MML, 53049.23, US, USD, New York, Procurement, US1, Athiest
Y1YPA3E4, Full Time Employee, 1961-01-20, 62, 1991-06-26, 1998-02-25, AWOL, Male, Single, N2, NML, 32753.55, India, INR, Vizag, Logistics, IN2, Sikhism
5QBCYBEK, Full Time Employee, 1967-09-07, 55, 2002-10-25, , , Female, Single, M4, MML, 61552.71, India, INR, Chennai, Production, IN4, Islam
LW56UGVX, Full Time Employee, 1982-07-24, 40, 2006-07-31, , , Male, Divorced, M1, JML, 35447.45, US, USD, Boise, Sales & Marketing, US3, Christianity
UHDDH9B2, Full Time Employee, 1986-03-04, 36, 2009-02-07, , , Female, Single, M2, JML, 43199.57, US, USD, Boise, Logistics, US3, Islam
M05GNGYO, Full Time Employee, 1970-07-28, 52, 2010-11-20, 2014-08-04, Return to school, Male, Divorced, M1, JML, 35446.40, US, USD, Boise, Sales & Marketing, US4, Christianity
IEIFRJ6B, Wage Boarder, 1984-06-09, 38, 2011-12-02, 2019-05-21, Return to school, Male, Single, M1, JML, 35447.88, US, USD, New York, Production, US2, Christianity
4T6B3LR2, Full Time Employee, 1961-11-17, 61, 2000-06-07, 2016-02-03, Relocation, Female, Divorced, M2, JML, 43198.66, US, USD, Phoenix, R&D, US3, Jewish
VNUHVT36, Full Time Employee, 1964-06-08, 58, 2017-04-17, , , Male, Married, M6, SML, 95347.03, Germany, EUR, Berlin, Production, GER1, Christianity
PS8GGQBO, Full Time Employee, 1982-08-09, 40, 2018-09-30, , , Female, Divorced, M2, JML, 43200.43, India, INR, Chennai, Customer Service, IN2, Hinduism
28PGHTPP, Full Time Employee, 1979-07-02, 43, 2021-09-29, , , Male, Separated, M1, JML, 35452.42, Germany, EUR, Berlin, Engineering, GER1, Christianity
UWM25Z6H, Full Time Employee, 1976-09-10, 46, 2011-03-10, , , Male, Divorced, M5, SML, 76550.70, US, USD, New York, Engineering, US3, Islam
P6Y8I3G0, Full Time Employee, 1981-09-27, 41, 2013-05-08, , , Male, Divorced, M1, JML, 35450.16, US, USD, Boston, Sales & Marketing, US4, Athiest
M8EBNZ30, Full Time Employee, 1966-01-03, 57, 1993-08-16, , , Male, Married, M5, SML, 76548.71, India, INR, Vizag, Production, IN2, Jainism
EUJ8HNGN, Full Time Employee, 1972-10-31, 50, 1998-02-16, , , Female, Separated, M1, JML, 35453.52, India, INR, Delhi, Customer Service, IN2, Buddhism
5WYBTYMK, Full Time Employee, 1988-05-07, 34, 2013-09-30, 2020-04-12, Return to school, Female, Separated, M1, JML, 35448.97, US, USD, Phoenix, Engineering, US3, Jewish
