IE4UFYCM, Full Time Employee, 1995-03-21,27, 2022-07-26, 2022-09-01, Career change,Voluntary, Male, Divorced, M6, SML,95351.34, Denmark, Aalborg, Sales & Marketing, DM1, Jewish, Danish, 
OHLIF7P1, Full Time Employee, 2002-08-18,20, 2021-06-18, , ,, Female, Single, M2, JML,43203.12, Netherlands, Rotterdam, Engineering, NL2, Athiest, Dutch, 
8HTQLVTA, Full Time Employee, 1988-04-16,34, 2020-11-22, , ,, Female, Single, M4, MML,61552.45, United Kingdom, Portsmouth, Sales & Marketing, UK2, Islam, White, 
U9RVEM7F, Full Time Employee, 1964-10-10,58, 1990-08-16, , ,, Male, Married, N1, NML,30649.53, United Kingdom, Portsmouth, Production, UK2, Hindu, White, 
I324IM9R, Full Time Employee, 1972-07-23,50, 1993-06-29, , ,, Female, Divorced, M2, JML,43200.82, India, Bangalore, Packing, IN3, Hinduism, Dravidian, 
WGBGOAU2, Full Time Employee, 1961-12-03,61, 2010-01-07, , ,, Female, Separated, M4, MML,61550.63, Denmark, Copenhagen, HR, DM2, Athiest, Danish, 
ERG94MU1, Full Time Employee, 1989-10-05,33, 2019-09-16, , ,, Female, Married, M3, MML,53052.64, India, Vizag, Production, IN3, Buddhism, Indo-Aryan, 
HZO9C7Y3, Full Time Employee, 1971-11-15,51, 1998-08-30, , ,, Male, Single, M6, SML,95351.22, United Kingdom, London, Production, UK3, Islam, Black British, 
BQMD1X9D, Full Time Employee, 1975-10-06,47, 2022-04-12, , ,, Third gender, Divorced, M2, JML,43201.8, Netherlands, Eindhoven, Production, NL3, Islam, Dutch, 
RU1N5IR4, Full Time Employee, 1995-01-16,28, 2018-02-25, , ,, Male, Separated, M1, JML,35451.28, Netherlands, Amsterdam, Production, NL1, Jewish, Dutch, 
OAYW85BO, Full Time Employee, 1999-09-02,23, 2018-01-03, , ,, Female, Married, M3, MML,53051.9, India, Chennai, Production, IN2, Sikhism, Dravidian, 
8R785EQJ, Temporary Employee, 1996-03-21,26, 2015-03-23, , ,, Male, Single, M4, MML,61548.36, Italy, Nice, Production, IT2, Islam, Italian, 
EDQLS2OT, Full Time Employee, 1989-12-26,33, 2012-08-30, , ,, Female, Separated, M3, MML,53047.73, China, Chongqing, Engineering, CN2, Buddhism, Han Chinese, 
BKMJNF6I, Full Time Employee, 1985-11-27,37, 2023-02-10, 2023-02-15, Gross misconduct,Involuntary, Male, Single, M3, MML,53048.76, United Kingdom, Warwick, Production, UK1, Jewish, White, 
L2PM3SJH, Full Time Employee, 1971-02-11,52, 2002-12-11, , ,, Male, Divorced, N2, NML,32748.91, United Kingdom, Warwick, Logistics, UK3, Islam, White, 
XRE4UQG5, Full Time Employee, 1964-11-06,58, 2002-11-05, , ,, Female, Separated, M2, JML,43198.48, Belgium, Ghent, Sales & Marketing, BL3, Christianity, Belgian, 
B9AGBCG0, Full Time Employee, 1987-02-04,36, 2010-09-22, , ,, Female, Widowed, M2, JML,43201.14, Netherlands, Eindhoven, HR, NL1, Islam, Dutch, 
QT3SD7FY, Full Time Employee, 1961-03-24,61, 1991-04-12, , ,, Male, Single, M1, JML,35447.95, Indonesia, Jakarta, Logistics, IA1, Christianity, Javanese, 
5PR0FEGA, Full Time Employee, 2004-02-08,19, 2022-10-25, 2023-01-20, Relocation,Voluntary, Female, Single, M3, MML,53051.61, Belgium, Brussels, Sales & Marketing, BL1, Christianity, Dutch, 
512M7BD5, Temporary Employee, 1988-10-24,34, 2017-07-20, , ,, Male, Single, M2, JML,43200.31, Netherlands, Amsterdam, Production, NL3, Athiest, Dutch, 
IO5G8F6U, Full Time Employee, 1978-03-31,44, 2015-05-08, , ,, Female, Separated, M1, JML,35450.56, Indonesia, Surabaya, Production, IA2, Islam, Javanese, 
G1Y8V04N, Full Time Employee, 1983-10-09,39, 2011-01-20, , ,, Male, Divorced, M2, JML,43202.15, United States, Boise, R&D, US2, Islam, White, Alaska-Native
5F9826LP, Full Time Employee, 1968-05-21,54, 2020-07-23, 2021-12-20, Relocation,Voluntary, Female, Married, M3, MML,53052.16, China, Beijing, Production, CN3, Athiest, Han Chinese, 
EEZO94ZC, Full Time Employee, 1978-01-24,45, 2018-09-09, , ,, Male, Single, M2, JML,43197.55, China, Chongqing, Sales & Marketing, CN2, Islam, Han Chinese, 
3W03DVZF, Full Time Employee, 1996-07-03,26, 2018-09-07, , ,, Male, Divorced, M3, MML,53051.37, Italy, Rome, Engineering, IT1, Athiest, Italian, 
7RMGFL3Q, Full Time Employee, 1993-07-01,29, 2018-05-09, , ,, Male, Separated, M3, MML,53050.37, United States, New York, Customer Service, US5, Jewish, White, 
IYD02D3F, Full Time Employee, 1979-09-02,43, 2000-08-08, , ,, Female, Separated, M7, TML,106453.06, China, Chengdu, Procurement, CN3, Buddhism, Han Chinese, 
ILKJ5ZFR, Full Time Employee, 1965-02-21,58, 1983-11-27, , ,, Female, Widowed, M5, SML,76552.26, China, Guangzhou, Engineering, CN4, Athiest, Han Chinese, 
CMO5ZPDM, Full Time Employee, 1993-03-29,29, 2019-04-06, , ,, Male, Single, M1, JML,35449.11, China, Shanghai, Logistics, CN4, Christianity, Han Chinese, 
UBJCUVSU, Full Time Employee, 2003-04-15,19, 2023-01-07, 2023-01-10, Performance,Involuntary, Male, Single, M1, JML,35448.89, Denmark, Aalborg, Engineering, DM1, Christianity, Danish, 
FFM76UNU, Full Time Employee, 1972-12-05,50, 1996-01-08, , ,, Female, Widowed, M2, JML,43200, Indonesia, Surabaya, Sales & Marketing, IA1, Islam, Javanese, 
ETP3ABY3, Full Time Employee, 1994-07-16,28, 2019-10-06, , ,, Female, Single, N2, NML,32751.18, United States, Boston, Engineering, US5, Christianity, White, 
3K7X0385, Full Time Employee, 1986-06-25,36, 2018-12-16, , ,, Female, Divorced, M2, JML,43199.33, Belgium, Ghent, Customer Service, BL1, Jewish, Belgian, 
CUR2G0AJ, Full Time Employee, 1961-05-30,61, 1999-02-02, , ,, Third gender, Married, M1, JML,35451.42, Netherlands, Amsterdam, Production, NL1, Christianity, Dutch, 
L5DCRAMY, Full Time Employee, 1984-10-14,38, 2013-11-15, , ,, Male, Single, M5, SML,76552.09, Denmark, Aalborg, Engineering, DM1, Islam, Turkish, 
ODDT72YE, Full Time Employee, 1993-12-17,29, 2017-05-03, , ,, Male, Married, M4, MML,61549.84, China, Shanghai, Production, CN2, Buddhism, Han Chinese, 
94VKLRUW, Full Time Employee, 1984-10-28,38, 2011-07-31, , ,, Female, Separated, M2, JML,43200.79, United States, Boise, Sales & Marketing, US4, Islam, White, 
VXHSBUTO, Full Time Employee, 1994-05-21,28, 2021-10-06, , ,, Female, Single, M2, JML,43199.02, Indonesia, Surabaya, Production, IA2, Christianity, Malay, 
SDX23INL, Full Time Employee, 1961-12-20,61, 1989-09-23, , ,, Female, Widowed, M3, MML,53050.67, Belgium, Antwerp, Production, BL2, Athiest, Belgian, 
3Q9IZBG9, Full Time Employee, 1964-09-04,58, 1987-03-25, , ,, Male, Married, N2, NML,32755.6, China, Peking, Production, CN4, Athiest, Han Chinese, 
93HNWFIB, Full Time Employee, 1979-09-30,43, 2013-06-18, , ,, Male, Married, M3, MML,53050.58, Denmark, Esbjerg, Engineering, DM2, Islam, Danish, 
O7W17NY5, Full Time Employee, 1970-09-28,52, 1990-09-06, , ,, Female, Widowed, M1, JML,35450.11, Indonesia, Jakarta, Stores, IA1, Hinduism, Malay, 
M2365KXN, Full Time Employee, 1961-05-09,61, 1995-08-14, 2008-03-10, Medical issues,Voluntary, Female, Divorced, M1, JML,35449.24, India, Delhi, R&D, IN3, Islam, Dravidian, 
G84TF22E, Fixed Term Contractual Employee, 1973-11-30,49, 1993-06-10, , ,, Female, Divorced, M1, JML,35451.18, Belgium, Antwerp, Logistics, BL1, Christianity, Belgian, 
05VN32VF, Full Time Employee, 1982-09-16,40, 2020-01-21, , ,, Male, Widowed, M2, JML,43198.06, Denmark, Aalborg, Sales & Marketing, DM3, Jewish, Danish, 
YED7PBSP, Full Time Employee, 1966-09-15,56, 2022-03-10, , ,, Male, Single, M2, JML,43197.17, United Kingdom, Portsmouth, Engineering, UK1, Christianity, White, 
S1KT94CL, Full Time Employee, 1982-12-29,40, 2021-03-03, , ,, Male, Widowed, N2, NML,32749.65, Denmark, Copenhagen, Sales & Marketing, DM1, Athiest, Danish, 
SJWFRF4W, Full Time Employee, 1974-05-12,48, 1998-05-02, 2008-11-28, Personal Reasons,Voluntary, Male, Divorced, M1, JML,35449.21, China, Beijing, Engineering, CN6, Taoism, Han Chinese, 
WA7ECNUL, Casual Employee, 1998-01-09,25, 2018-04-13, , ,, Female, Single, M4, MML,61551.15, China, Beijing, Production, CN4, Islam, Han Chinese, 
RT11D7Y3, Full Time Employee, 2001-06-07,21, 2020-12-25, , ,, Female, Widowed, M1, JML,35449.48, Italy, Naples, Customer Service, IT2, Athiest, Italian, 
HLMFXACM, Full Time Employee, 1979-04-02,43, 2013-01-10, , ,, Female, Separated, N2, NML,32750.74, Italy, Naples, Logistics, IT3, Islam, Italian, 
GVJIBVSO, Full Time Employee, 1970-09-05,52, 2016-09-06, 2017-03-13, AWOL,Involuntary, Female, Divorced, M3, MML,53051.27, United States, Boise, Sales & Marketing, US5, Athiest, White, 
PVH0LC8O, Full Time Employee, 1966-09-26,56, 2003-04-28, , ,, Female, Widowed, M1, JML,35451.48, Belgium, Ghent, Production, BL1, Athiest, Belgian, 
GUADIVYJ, Full Time Employee, 1973-07-04,49, 2001-06-01, , ,, Male, Separated, M3, MML,53050.78, United States, New York, Production, US5, Islam, White, 
TWJMNOE3, Full Time Employee, 1983-12-30,39, 2019-02-28, , ,, Female, Divorced, M2, JML,43201.17, Belgium, Brussels, Engineering, BL3, Christianity, Belgian, 
5ALTM9OM, Temporary Employee, 1982-04-16,40, 2007-02-27, , ,, Female, Divorced, M5, SML,76551.95, Belgium, Ghent, Engineering, BL1, Jewish, Moroccan, 
2S0A4RSB, Full Time Employee, 1998-09-01,24, 2020-02-27, , ,, Male, Widowed, M7, TML,106447.49, Belgium, Ghent, Engineering, BL1, Jewish, Dutch, 
WHKEMMN6, Full Time Employee, 1987-02-24,36, 2008-04-29, , ,, Male, Married, M4, MML,61553.05, United Kingdom, Jersey, Sales & Marketing, UK1, Christianity, White, 
CZTS2092, Full Time Employee, 2003-05-30,19, 2022-10-05, , ,, Female, Married, M3, MML,53049.05, Indonesia, Surabaya, Production, IA3, Hinduism, Javanese, 
COEQ2W60, Full Time Employee, 1962-11-26,60, 2018-08-01, , ,, Female, Single, N2, NML,32751.07, China, Guangzhou, Sales & Marketing, CN4, Christianity, Zhang, 
4ACCNZJU, Full Time Employee, 1994-05-26,28, 2018-09-08, , ,, Male, Single, M2, JML,43203.4, Belgium, Ghent, Production, BL3, Athiest, Belgian, 
HF307FAT, Full Time Employee, 1995-07-02,27, 2014-04-01, , ,, Female, Divorced, M2, JML,43196.75, India, Bangalore, Customer Service, IN2, Sikhism, Dravidian, 
C5PKWHW5, Full Time Employee, 1986-02-22,37, 2015-05-06, , ,, Female, Widowed, M1, JML,35447.75, China, Chengdu, Sales & Marketing, CN3, Taoism, Han Chinese, 
7HJB33GM, Full Time Employee, 1988-08-05,34, 2018-06-05, , ,, Male, Married, M3, MML,53054.41, Netherlands, Eindhoven, Engineering, NL1, Christianity, Dutch, 
F47E98AR, Full Time Employee, 1984-03-06,38, 2002-12-07, , ,, Male, Single, M1, JML,35452.6, China, Guangzhou, Engineering, CN5, Athiest, Hui, 
XQAL6JQS, Full Time Employee, 1964-04-12,58, 1986-01-29, 2019-08-22, Performance,Involuntary, Female, Married, M5, SML,76552.61, China, Chongqing, Engineering, CN6, Islam, Han Chinese, 
TRO6HDJW, Wage Boarder, 1962-06-28,60, 2003-07-18, , ,, Male, Married, M3, MML,53049.1, Denmark, Esbjerg, Engineering, DM2, Jewish, Danish, 
FDF3MQHM, Full Time Employee, 1989-07-12,33, 2016-08-21, 2019-09-07, Return to school,Voluntary, Male, Widowed, M1, JML,35447.69, Denmark, Esbjerg, Production, DM3, Athiest, Danish, 
79L5U0KA, Full Time Employee, 1987-09-04,35, 2006-08-21, , ,, Male, Divorced, M2, JML,43199.59, Denmark, Copenhagen, Production, DM2, Christianity, Danish, 
S05U9I95, Full Time Employee, 1993-04-11,29, 2013-10-21, , ,, Female, Divorced, M3, MML,53048.59, United Kingdom, Portsmouth, Customer Service, UK4, Jewish, White, 
AY5B0CKA, Temporary Employee, 1968-12-13,54, 2007-07-07, , ,, Female, Widowed, M4, MML,61551.08, China, Shanghai, Packing, CN2, Christianity, Han Chinese, Uighur
W2HSBO7S, Full Time Employee, 1998-11-24,24, 2017-05-07, , ,, Female, Separated, M1, JML,35449.61, United States, Phoenix, Engineering, US5, Athiest, White, 
4X07VZL9, Full Time Employee, 1995-04-29,27, 2015-08-14, , ,, Female, Married, M3, MML,53047.98, Denmark, Esbjerg, Customer Service, DM3, Islam, Danish, 
G9MA39VZ, Full Time Employee, 1972-11-26,50, 2004-09-12, , ,, Female, Single, M1, JML,35450.77, India, Chennai, Production, IN2, Buddhism, Dravidian, 
ZM0ER7GO, Full Time Employee, 1986-07-07,36, 2005-09-10, , ,, Female, Widowed, M4, MML,61549.77, United Kingdom, Portsmouth, Production, UK4, Christianity, Black British, 
G688F7SG, Full Time Employee, 1981-03-09,41, 2001-05-05, , ,, Male, Single, M4, MML,61550.47, United Kingdom, Portsmouth, Production, UK4, Hindu, Asian British, 
UL5209KZ, Full Time Employee, 1983-12-07,39, 2004-03-26, , ,, Female, Married, M1, JML,35452.42, United States, Phoenix, Sales & Marketing, US2, Athiest, White, 
BJI3C9K6, Full Time Employee, 1984-07-14,38, 2003-09-08, 2017-07-24, Career change,Voluntary, Male, Separated, M3, MML,53048.7, Italy, Rome, Customer Service, IT3, Islam, Italian, 
QGKY1XYO, Full Time Employee, 1963-03-19,59, 2002-03-15, , ,, Female, Widowed, M1, JML,35447.55, Belgium, Antwerp, Production, BL2, Islam, Belgian, 
YVJO6WRL, Full Time Employee, 1999-09-21,23, 2020-03-12, , ,, Female, Divorced, M4, MML,61552.49, China, Shanghai, Engineering, CN4, Taoism, Han Chinese, 
2FEFDCKM, Full Time Employee, 1962-03-27,60, 1985-04-08, , ,, Male, Divorced, M3, MML,53049.04, Netherlands, Eindhoven, Production, NL1, Jewish, Dutch, 
48KAJWL5, Full Time Employee, 1965-10-12,57, 2014-03-06, , ,, Female, Single, M5, SML,76548.88, Indonesia, Jakarta, Production, IA3, Islam, Javanese, 
891LS8AN, Full Time Employee, 1990-12-14,32, 2015-05-24, , ,, Male, Married, M3, MML,53051.15, Belgium, Brussels, Customer Service, BL3, Athiest, Moroccan, 
N3C1SUHK, Casual Employee, 1965-11-23,57, 1987-05-25, , ,, Male, Widowed, M6, SML,95349.67, Denmark, Aalborg, Production, DM2, Islam, Polish, 
ULX7Q4P2, Full Time Employee, 1997-08-07,25, 2019-03-22, , ,, Female, Married, M1, JML,35445.92, Denmark, Copenhagen, Production, DM2, Jewish, Danish, 
2XK5DB1C, Full Time Employee, 1998-06-16,24, 2017-05-27, , ,, Male, Widowed, M2, JML,43198.25, Italy, Rome, Production, IT1, Athiest, Italian, 
4NEKY58C, Full Time Employee, 1975-06-18,47, 1994-10-01, , ,, Female, Single, M3, MML,53051.1, Belgium, Brussels, Logistics, BL3, Athiest, Belgian, 
4ZFG4XWR, Full Time Employee, 1984-03-01,39, 2005-06-08, , ,, Female, Widowed, M1, JML,35449.18, Belgium, Antwerp, Production, BL2, Christianity, Belgian, 
BSZD74U2, Full Time Employee, 1984-10-03,38, 2016-01-17, , ,, Female, Single, M3, MML,53049.48, Italy, Nice, Engineering, IT1, Athiest, Italian, 
VI686WGN, Full Time Employee, 1980-04-12,42, 2002-08-15, , ,, Male, Divorced, M4, MML,61548.49, China, Beijing, Customer Service, CN1, Taoism, Han Chinese, 
9ZB0JB56, Full Time Employee, 1990-02-01,33, 2011-11-30, , ,, Male, Widowed, M1, JML,35447.32, Indonesia, Bandung, Sales & Marketing, IA3, Islam, Malay, 
IEG2FFNG, Full Time Employee, 1962-10-28,60, 1992-02-25, , ,, Male, Married, M2, JML,43199.18, United Kingdom, Warwick, Production, UK3, Christianity, White, 
14PVDOH7, Full Time Employee, 1964-08-20,58, 1991-01-18, 1997-06-02, Personal Reasons,Voluntary, Male, Divorced, M2, JML,43198.2, United States, New York, Production, US1, Jewish, White, Pacific Islander
RE3FDA9E, Full Time Employee, 1965-06-09,57, 1983-10-11, , ,, Male, Single, M7, TML,106449.05, India, Hyderabad, Engineering, IN3, Buddhism, Indo-Aryan, 
GNOARTNO, Full Time Employee, 1984-01-08,39, 2017-03-02, , ,, Female, Single, M3, MML,53052.13, Belgium, Ghent, Sales & Marketing, BL2, Jewish, Belgian, 
H05CRJ3B, Full Time Employee, 1983-09-19,39, 2022-05-28, , ,, Male, Widowed, M2, JML,43201.09, Indonesia, Jakarta, Production, IA1, Islam, Sundanese, 
98ASW5I6, Full Time Employee, 1981-07-10,41, 2011-11-03, 2014-03-02, Childcare,Voluntary, Female, Divorced, M2, JML,43199.67, Denmark, Esbjerg, Production, DM2, Islam, Danish, 
WXRYKMMM, Full Time Employee, 1988-03-01,35, 2018-11-04, , ,, Male, Single, N1, NML,30650.3, China, Guangzhou, Sales & Marketing, CN2, Athiest, Han Chinese, 
Q0VK81WG, Full Time Employee, 2004-07-28,18, 2023-01-21, , ,, Male, Divorced, M7, TML,106449.67, Netherlands, Rotterdam, Procurement, NL3, Jewish, Dutch, 
EFCINIOR, Full Time Employee, 1981-03-05,41, 2015-01-08, , ,, Male, Divorced, M1, JML,35448.21, United States, New York, Engineering, US2, Jewish, White, 
ZCV8T9QS, Full Time Employee, 1985-07-17,37, 2007-10-15, , ,, Male, Widowed, M1, JML,35449.24, United States, Boston, Production, US2, Christianity, White, 
TWFLD7NJ, Full Time Employee, 1994-07-31,28, 2014-09-02, , ,, Male, Single, M7, TML,106452, Netherlands, Amsterdam, Production, NL2, Jewish, EU(excluding Dutch), 
V6I2GWPG, Full Time Employee, 1985-10-06,37, 2018-02-25, , ,, Female, Separated, M3, MML,53050.9, United States, New York, Production, US6, Athiest, White, 
6HWZLJW9, Full Time Employee, 1970-05-19,52, 2017-03-27, , ,, Male, Divorced, M1, JML,35449.43, Italy, Florence, Sales & Marketing, IT3, Islam, Italian, 
EWFFYHU0, Full Time Employee, 1968-03-11,54, 1998-04-24, , ,, Female, Single, M3, MML,53048.4, China, Beijing, Logistics, CN6, Christianity, Han Chinese, 
RX5LRX93, Full Time Employee, 1978-05-22,44, 1998-09-11, , ,, Female, Single, M2, JML,43194.63, China, Beijing, Production, CN6, Taoism, Han Chinese, 
TWIE0LFH, Full Time Employee, 1965-08-12,57, 1984-02-15, , ,, Female, Single, M7, TML,106449.5, Indonesia, Jakarta, Production, IA3, Hinduism, Javanese, 
GJB9OK78, Full Time Employee, 2002-03-16,20, 2022-09-26, , ,, Female, Married, N2, NML,32750.09, United Kingdom, Portsmouth, Production, UK1, Christianity, White, 
3MYPR1FS, Full Time Employee, 1992-08-07,30, 2023-01-14, , ,, Female, Divorced, M5, SML,76553.61, India, Hyderabad, Engineering, IN2, Buddhism, Indo-Aryan, 
FHEZM3KE, Full Time Employee, 2004-06-11,18, 2023-01-11, , ,, Male, Divorced, M1, JML,35446.52, Indonesia, Surabaya, Stores, IA2, Christianity, Sundanese, 
XWCFNCKH, Full Time Employee, 1982-01-07,41, 2022-10-22, , ,, Male, Single, M2, JML,43198.33, Indonesia, Jakarta, Sales & Marketing, IA2, Islam, Javanese, 
N2QW5CKN, Full Time Employee, 1974-08-03,48, 2022-04-14, , ,, Male, Divorced, M4, MML,61549.86, Denmark, Aalborg, Engineering, DM3, Jewish, Danish, 
NHB6K69B, Full Time Employee, 1964-05-08,58, 2009-02-15, , ,, Female, Married, M2, JML,43201.39, Italy, Rome, Sales & Marketing, IT2, Christianity, Italian, 
CVPGFD7B, Full Time Employee, 2004-01-05,19, 2022-03-21, , ,, Male, Single, M7, TML,106450.81, Netherlands, Rotterdam, Logistics, NL1, Islam, Dutch, 
AMO85X1D, Full Time Employee, 1973-11-23,49, 2009-07-13, , ,, Male, Separated, M2, JML,43200.08, Netherlands, Eindhoven, Production, NL1, Christianity, Dutch, 
PJ7AZB4O, Full Time Employee, 1984-03-20,38, 2022-11-13, , ,, Male, Single, N2, NML,32748.49, Italy, Florence, Engineering, IT2, Christianity, Italian, 
I7JEPEEK, Full Time Employee, 1992-11-09,30, 2016-06-05, , ,, Male, Separated, M1, JML,35449.88, Netherlands, Rotterdam, Packing, NL4, Christianity, Dutch, 
RQ4AB3SD, Full Time Employee, 2001-08-02,21, 2022-05-01, , ,, Male, Widowed, M3, MML,53051.08, Belgium, Ghent, Procurement, BL1, Christianity, Belgian, 
89YMAA02, Full Time Employee, 1996-07-14,26, 2017-04-07, , ,, Male, Divorced, M4, MML,61548.09, Belgium, Ghent, Production, BL3, Christianity, Belgian, 
EJ8Y9PUC, Full Time Employee, 1981-10-15,41, 2017-12-04, , ,, Male, Divorced, M1, JML,35445.9, India, Delhi, Engineering, IN3, Buddhism, Indo-Aryan, 
WXGXIOLA, Full Time Employee, 1997-02-22,26, 2019-05-28, , ,, Male, Single, M4, MML,61553.35, Indonesia, Jakarta, Production, IA2, Islam, Javanese, 
GGG08IMG, Full Time Employee, 1975-06-08,47, 2000-08-29, , ,, Female, Widowed, M4, MML,61552.29, Netherlands, Rotterdam, Production, NL3, Christianity, Dutch, 
NE60X063, Full Time Employee, 2001-09-30,21, 2022-02-13, , ,, Male, Separated, M5, SML,76550, Denmark, Esbjerg, Customer Service, DM2, Christianity, Danish, 
X3DLYQNI, Full Time Employee, 2001-12-13,21, 2022-07-18, , ,, Male, Married, M3, MML,53048.57, Netherlands, Rotterdam, Production, NL3, Christianity, Dutch, 
69GTWY2Q, Full Time Employee, 1989-09-08,33, 2015-04-20, , ,, Male, Divorced, M2, JML,43199.41, United Kingdom, Jersey, Engineering, UK2, Christianity, White, 
LW2YMO5F, Full Time Employee, 2002-08-25,20, 2020-10-21, , ,, Female, Separated, M1, JML,35452.74, United Kingdom, London, Sales & Marketing, UK4, Christianity, White, 
YQ6PGO4Y, Full Time Employee, 1987-10-08,35, 2008-11-04, , ,, Female, Separated, M3, MML,53051.77, Denmark, Copenhagen, Production, DM1, Christianity, Danish, 
7PUR0IBI, Full Time Employee, 1971-08-15,51, 2003-09-15, , ,, Female, Married, M2, JML,43196.21, United Kingdom, Jersey, Engineering, UK2, Islam, White, 
DMQ7C7MG, Full Time Employee, 1967-02-17,56, 1997-09-11, , ,, Male, Single, M2, JML,43201.32, China, Peking, Sales & Marketing, CN5, Taoism, Han Chinese, 
LQ880ZCI, Full Time Employee, 1988-12-14,34, 2012-05-25, , ,, Male, Separated, M2, JML,43198.93, China, Guangzhou, Stores, CN1, Buddhism, Han Chinese, 
CUEL0UST, Full Time Employee, 2002-08-16,20, 2020-12-16, , ,, Male, Single, M2, JML,43201.3, Denmark, Aalborg, Production, DM1, Islam, Danish, 
MLQMAIFU, Full Time Employee, 1974-11-01,48, 2002-10-04, , ,, Female, Single, M2, JML,43199.18, Denmark, Aalborg, R&D, DM3, Jewish, Danish, 
K9IWBJ7K, Full Time Employee, 1988-01-19,35, 2010-06-23, 2015-12-26, Return to school,Voluntary, Male, Widowed, M3, MML,53048.04, United Kingdom, Jersey, Sales & Marketing, UK5, Hindu, White, 
84DIIL1B, Full Time Employee, 1974-02-28,49, 1993-11-17, , ,, Female, Single, M3, MML,53051.75, United Kingdom, York, Customer Service, UK5, Christianity, Black British, 
S8UHGV46, Full Time Employee, 1972-03-29,50, 2022-03-20, , ,, Male, Separated, M3, MML,53048.7, Italy, Naples, Sales & Marketing, IT2, Christianity, Italian, 
AZ9660QV, Full Time Employee, 1977-04-13,45, 1997-04-29, , ,, Male, Single, M2, JML,43198.72, India, Delhi, Logistics, IN2, Buddhism, Iranic, 
9YO1QQ1B, Full Time Employee, 1982-07-04,40, 2020-08-28, , ,, Male, Separated, M5, SML,76549.97, China, Chengdu, Engineering, CN3, Taoism, Han Chinese, 
4ZVOA6O2, Fixed Term Contractual Employee, 1988-05-07,34, 2009-04-16, , ,, Male, Divorced, M2, JML,43202.27, United Kingdom, London, Stores, UK4, Jewish, Black British, 
2DKRN5LU, Temporary Employee, 1970-04-17,52, 2007-08-20, , ,, Male, Separated, M2, JML,43199.36, Belgium, Ghent, Engineering, BL1, Athiest, Belgian, 
9D9HEPZU, Full Time Employee, 1995-01-18,28, 2022-06-16, , ,, Male, Widowed, M4, MML,61548.47, India, Chennai, Production, IN1, Hinduism, Indo-Aryan, 
5EFIV742, Full Time Employee, 1991-03-31,31, 2012-07-28, , ,, Male, Separated, N2, NML,32750.7, United Kingdom, Warwick, Production, UK3, Hindu, White, 
6J8URAEY, Full Time Employee, 2004-08-19,18, 2022-11-21, , ,, Male, Divorced, M2, JML,43201.21, Denmark, Esbjerg, Stores, DM1, Jewish, Danish, 
6GTA6EIF, Full Time Employee, 2004-12-30,18, 2023-02-08, , ,, Male, Divorced, M4, MML,61550.8, India, Hyderabad, Sales & Marketing, IN4, Islam, Indo-Aryan, 
0F9783L0, Full Time Employee, 1961-06-26,61, 2001-05-20, 2003-03-02, Career change,Voluntary, Third gender, Divorced, M6, SML,95348.4, Indonesia, Jakarta, Production, IA3, Islam, Javanese, 
PWH1JYFU, Full Time Employee, 1996-04-12,26, 2017-09-24, , ,, Male, Separated, M3, MML,53051.45, Belgium, Ghent, Engineering, BL3, Islam, Belgian, 
XTOOPXCS, Full Time Employee, 2001-11-22,21, 2021-12-29, , ,, Male, Separated, M3, MML,53048.81, Belgium, Ghent, Production, BL1, Islam, Belgian, 
26V6P9M4, Casual Employee, 1982-06-19,40, 2017-12-26, , ,, Female, Separated, M1, JML,35451.81, Belgium, Brussels, Packing, BL2, Jewish, Moroccan, 
1VK3ZFR5, Full Time Employee, 1962-02-23,61, 1989-06-27, , ,, Female, Single, M3, MML,53051.26, Netherlands, Eindhoven, Production, NL2, Jewish, Dutch, 
42ZV5YKG, Full Time Employee, 2004-01-17,19, 2022-05-08, , ,, Male, Divorced, M4, MML,61551.84, United States, Boston, Packing, US2, Islam, White, 
M8JPVPE8, Full Time Employee, 1982-11-24,40, 2015-11-25, , ,, Male, Single, M2, JML,43199.13, China, Chongqing, Customer Service, CN5, Athiest, Han Chinese, 
46U3HP9E, Full Time Employee, 1995-01-29,28, 2022-05-25, , ,, Male, Married, M4, MML,61549.21, Italy, Nice, Production, IT3, Christianity, Italian, 
PEULC7O9, Full Time Employee, 1998-07-20,24, 2022-09-11, , ,, Male, Widowed, M2, JML,43198.58, United States, Boston, Sales & Marketing, US2, Christianity, White, 
N7B82QMV, Full Time Employee, 1999-09-28,23, 2021-10-06, 2022-01-27, Return to school,Voluntary, Female, Separated, M1, JML,35451.15, Italy, Naples, Engineering, IT2, Athiest, Italian, 
Z3ANP3IQ, Full Time Employee, 1990-03-22,32, 2021-06-08, , ,, Female, Married, N2, NML,32748.65, Italy, Florence, Packing, IT3, Athiest, Italian, 
7WVD5QY3, Full Time Employee, 1970-11-13,52, 2019-07-18, 2020-11-22, Relocation,Voluntary, Male, Separated, M4, MML,61551.72, Belgium, Antwerp, Logistics, BL2, Islam, Dutch, 
WB1GPRPV, Full Time Employee, 1997-02-08,26, 2020-09-02, , ,, Male, Divorced, M2, JML,43198.3, Italy, Naples, Engineering, IT1, Athiest, Slovene-Italian, 
LMGAOJQT, Temporary Employee, 1992-11-11,30, 2017-11-12, , ,, Male, Married, M2, JML,43200.34, Netherlands, Eindhoven, Production, NL2, Athiest, Dutch, 
